title,buy_button
"GOURMET® GOLD, Delicii Suculente, cu pui și vită, hrană umedă pentru pisici",False
"PURINA ONE® URINARY CARE, Cu conținut bogat în Pui și Grâu, hrană uscată pentru pisici",True
"PURINA ONE INDOOR Formula, cu conținut bogat în Curcan și Cereale Integrale, hrană uscată pentru pisici",True
"PURINA ONE® ADULT, bogat în Pui și Cereale Integrale, hrană uscată pentru pisici",True
"PURINA ONE® COAT and HAIRBALL, bogat în Pui și Cereale Integrale, hrană uscată pentru pisici",True
"PURINA ONE SENSITIVE, Cu conținut bogat în Curcan și Orez, hrană uscată pentru pisici",True
"PURINA ONE® Sterilcat cu Somon și Cereale Integrale, hrană uscată pentru pisici",True
"PURINA ONE Sterilcat cu Vită și Grâu, hrană uscată pentru pisici",True
"PURINA ONE® ADULT cu Somon și Cereale Integrale, hrană uscată pentru pisici",True
"GOURMET® GOLD Delicii Suculente, cu pui, hrană umedă pentru pisici",False
"PURINA ONE Junior, Cu conținut bogat în Pui și Cereale Integrale, hrana uscata pisici junior",True
"PURINA ONE DualNature, Sterilized, cu Vită, hrană uscată pentru pisici sterilizate",True
"GOURMET® GOLD Delicii Suculente, cu somon, hrană umedă pentru pisici",False
"PRO PLAN® STERILISED MAINTENANCE Adult, terină cu Ton și Somon, hrană umedă pentru pisici",False
"GOURMET® GOLD Delicii Suculente, cu vită, hrană umedă pentru pisici",False
"FELIX PARTY MIX Picnic Mix cu Pui, Brânză și Curcan, recompense pentru pisici",True
"FRISKIES® ADULT, cu somon și legume, hrană uscată pentru pisici",False
"FELIX PARTY MIX Dairy Delight cu Lapte, Iaurt și Brânză, recompense pentru pisici",True
"PURINA® PRO PLAN® DELICATE DIGESTION cu Curcan în sos, hrană umedă pentru pisici adulte",False
"PURINA® PRO PLAN® INDOOR cu Somon în sos,hrană umedă pentru pisici adulte",False
"PURINA ONE DualNature, Sterilized, cu Somon, hrană uscată pentru pisici sterilizate",True
"PRO PLAN® DELICATE DIGESTION, cu pește oceanic în sos, hrană umedă pentru pisici",False
"FRISKIES® ADULT, cu cod, somon, sardină, ton în sos, hrană umedă pentru pisici",False
"PURINA ONE DualNature, Sterilized, cu Vită, hrană uscată pentru pisici sterilizate",True
"PRO PLAN® HEALTHY START, cu curcan în sos, hrană umedă pentru puii de pisică",True
"FRISKIES® ADULT, cu pui, vită, miel, rață în sos, hrană umedă pentru pisici",False
"PURINA ONE DualNature, Adult, cu Pui, hrană uscată pentru pisici adulte",True
"PRO PLAN® STERILISED MAINTENANCE, cu cod, hrană umedă pentru pisici",False
"FRISKIES® ADULT, cu Vită în sos, hrană umedă pentru pisici",False
"PRO PLAN® HEALTHY START Junior, pate cu Pui, hrană umedă pentru puii de pisică",False
"GOURMET® GOLD Delicii Suculente, cu somon, pește oceanic, hrană umedă pentru pisici",False
"PRO PLAN® MAINTENANCE Adult, terină cu Pui, hrană umedă pentru pisici",False
"PURINA ONE® ADULT, mini fileuri cu Pui și Fasole Verde în sos, hrană umedă pentru pisici",True
"PURINA ONE® SENSITIVE, mini fileuri cu Pui și Morcov în sos, hrană umedă pentru pisici",True
"PURINA ONE® SENSITIVE, cu Pui/Ton, Mini Fileuri în Sos, hrană umedă pentru pisici",True
"PURINA ONE Sterilcat hrana umeda pentru pisici, mini fileuri cu Somon și Morcov în sos",True
"PURINA ONE® Indoor, mini fileuri cu Ton și Fasole Verde în sos, hrană umedă pentru pisici",True
"PRO PLAN ® Sterilised Adult 1+ RENAL PLUS, bogat în curcan, hrană uscată pentru pisici",True
"PRO PLAN ® Sterilised Adult 1+ RENAL PLUS, bogat în somon, hrană uscată pentru pisici",True
"PURINA® PRO PLAN® ADULT Vital Functions, bogat în somon, hrană uscată pentru pisici",True
"PRO PLAN® ADULT Delicate Digestion, bogat în curcan, hrană uscată pentru pisici",True
"PRO PLAN® ADULT Renal Plus, bogat în pui, hrană uscată pentru pisici",True
"PRO PLAN® STERILISED Sensitive Digestion, bogat în pui, hrană uscată pentru pisici",True
PRO PLAN® Hydra Care™  Supliment de hidratare pentru pisici,False
"PRO PLAN® Kitten HEALTHY START, bogat în pui, hrană uscată pentru puii de pisică 1-12 luni",True
"PURINA® PRO PLAN® EXPERT CARE NUTRITION Sterilised, cu Curcan, hrană uscată pentru pisici",False
"PURINA® PRO PLAN® EXPERT CARE NUTRITION Sterilised, cu Somon, hrană uscată pentru pisici",False
"PURINA® PRO PLAN® EXPERT CARE NUTRITION Junior, cu Curcan, hrană uscată pentru pisici",False
"PURINA® PRO PLAN® EXPERT CARE NUTRITION Sterilised 7+, cu Curcan, hrană uscată pentru pisici",False
"PRO PLAN® Adult STERILISED MAINTENANCE, cu Vită în sos, hrană umedă pentru pisici adulte sterilizate",True
"PRO PLAN® HEALTHY START, cu curcan, hrană umedă pentru puii de pisică",True
"PRO PLAN® Adult STERILISED MAINTENANCE cu Pui în sos, hrana umedă pentru pisici adulte sterilizate",True
"GOURMET® GOLD Junior, cu vițel, pate, hrană umedă pentru puii de pisică",False
"GOURMET® PERLE, cu vită, pui, iepure, somon, mini fileuri în sos, hrană umedă pentru pisici",False
"GOURMET Mon Petit, Pachet Mixat, Somon, Ton și Păstrăv, hrană umedă pentru pisici",True
"GOURMET Mon Petit, Pachet Mixat, Vită, Vițel și Miel, hrană umedă pentru pisici",True
"GOURMET® MON PETIT, cu curcan, pui, rață, mini fileuri în sos, hrană umedă pentru pisici",True
"GOURMET® GOLD Rețetă Rafinată, cu vită și roșii, hrană umedă pentru pisici",True
"GOURMET® GOLD Rețetă Rafinată, cu pui și morcovi, hrană umedă pentru pisici",True
"GOURMET® GOLD, cu ton, pate, hrană umedă pentru pisici",True
"GOURMET® GOLD, cu pui, pate, hrană umedă pentru pisici",True
"GOURMET® GOLD, cu curcan, pate, hrană umedă pentru pisici",True
"GOURMET® GOLD Rețetă Rafinată, cu vită și roșii, hrană umedă pentru pisici",True
"GOURMET® GOLD Rețetă Rafinată, cu pui și morcovi, hrană umedă pentru pisici",True
"GOURMET® GOLD, cu ton, pate, hrană umedă pentru pisici",True
"GOURMET® GOLD, cu vită, pate, hrană umedă pentru pisici",True
"GOURMET® GOLD Rețetă Rafinată, cu miel și fasole verde, hrană umedă pentru pisici",True
"GOURMET® GOLD Dublă Savoare, cu vită și pui, hrană umedă pentru pisici",True
"GOURMET® GOLD Dublă Savoare, cu vită și pui, rață și curcan, pește oceanic și spanac, iepure și ficat în sos, hrană umedă pentru pisici",True
"GOURMET® GOLD, cu vită, somon și pui, curcan și rață, pui și ficat, bucăți în sos, hrană umedă pentru pisici",True
"GOURMET® GOLD, cu vită, ton, ficat, curcan, pate, hrană umedă pentru pisici",True
"GOURMET® PERLE, cu curcan, rață, miel, ton, mini fileuri în sos, hrană umedă pentru pisici",True
"GOURMET® PERLE, cu curcan, rață, miel, ton, mini fileuri în sos, hrană umedă pentru pisici",True
"GOURMET® PERLE, cu vițel și legume, iepure și morcovi, miel și legume, pui, mini fileuri în sos, hrană umedă pentru pisici",True
"GOURMET® PERLE, cu vită și morcovi, mini fileuri în sos cu legume, hrană umedă pentru pisici",True
"GOURMET® PERLE, cu pui, mini fileuri în sos, hrană umedă pentru pisici",True
"GOURMET® NATURE'S CREATIONS, cu vită, mazăre și morcovi, mini fileuri în sos, hrană umedă pentru pisici",True
